Date,Mkt-RF,SMB,HML,RF
201001,-3.36,0.38,0.31,0
201002,3.4,1.21,3.17,0
201003,6.31,1.43,2.1,0.01
201004,2,4.98,2.81,0.01
201005,-7.89,0.05,-2.38,0.01
201006,-5.56,-1.98,-4.5,0.01
201007,6.93,0.17,-0.26,0.01
201008,-4.77,-3,-1.96,0.01
201009,9.54,3.92,-3.12,0.01
201010,3.88,1.14,-2.59,0.01
201011,0.6,3.71,-0.9,0.01
201012,6.82,0.69,3.82,0.01
201101,1.99,-2.46,0.83,0.01
201102,3.49,1.52,1.08,0.01
201103,0.45,2.6,-1.57,0.01
201104,2.9,-0.35,-2.53,0
201105,-1.27,-0.71,-2.07,0
201106,-1.75,-0.17,-0.33,0
201107,-2.36,-1.3,-1.23,0
201108,-5.99,-3.06,-2.44,0.01
201109,-7.59,-3.49,-1.46,0
201110,11.35,3.41,-0.17,0
201111,-0.28,-0.17,-0.34,0
201112,0.74,-0.71,1.75,0
201201,5.05,2.15,-1.11,0
201202,4.42,-1.75,0.09,0
201203,3.11,-0.6,0.87,0
201204,-0.85,-0.51,-0.46,0
201205,-6.19,0.02,-0.62,0.01
201206,3.89,0.77,0.44,0
201207,0.79,-2.59,-0.26,0
201208,2.55,0.42,1.32,0.01
201209,2.73,0.51,1.54,0.01
201210,-1.76,-1.14,3.79,0.01
201211,0.78,0.58,-0.96,0.01
201212,1.18,1.47,3.56,0.01
201301,5.57,0.39,0.95,0
201302,1.29,-0.45,0.03,0
201303,4.03,0.78,-0.29,0
201304,1.55,-2.42,0.63,0
201305,2.8,1.67,2.6,0
201306,-1.2,1.22,-0.18,0
201307,5.65,1.86,0.56,0
201308,-2.71,0.3,-2.78,0
201309,3.77,2.93,-1.19,0
201310,4.18,-1.49,1.14,0
201311,3.12,1.24,0.24,0
201312,2.81,-0.5,-0.31,0
201401,-3.32,0.86,-2.09,0
201402,4.65,0.32,-0.4,0
201403,0.43,-1.89,5.08,0
201404,-0.19,-4.25,1.14,0
201405,2.06,-1.85,-0.27,0
201406,2.61,3.07,-0.74,0
201407,-2.04,-4.24,0.01,0
201408,4.24,0.36,-0.58,0
201409,-1.97,-3.83,-1.23,0
201410,2.52,4.23,-1.68,0
201411,2.55,-2.09,-2.99,0
201412,-0.06,2.54,2.06,0
201501,-3.11,-0.56,-3.47,0
201502,6.13,0.48,-1.79,0
201503,-1.12,3.02,-0.46,0
201504,0.59,-2.97,1.86,0
201505,1.36,0.87,-1.37,0
201506,-1.53,2.83,-0.79,0
201507,1.54,-4.14,-4.12,0
201508,-6.04,0.48,2.68,0
201509,-3.08,-2.64,0.52,0
201510,7.75,-1.97,-0.08,0
201511,0.56,3.64,-0.52,0
201512,-2.17,-2.82,-2.58,0.01
201601,-5.77,-3.39,2.1,0.01
201602,-0.07,0.78,-0.48,0.02
201603,6.96,0.88,1.12,0.02
201604,0.92,0.68,3.26,0.01
201605,1.78,-0.26,-1.81,0.01
201606,-0.05,0.65,-1.49,0.02
201607,3.95,2.65,-1.13,0.02
201608,0.5,1.15,3.31,0.02
201609,0.25,2.02,-1.48,0.02
201610,-2.02,-4.37,4.18,0.02
201611,4.86,5.49,8.27,0.01
201612,1.82,0.07,3.6,0.03
201701,1.94,-1.02,-2.78,0.04
201702,3.57,-2.01,-1.78,0.04
201703,0.17,1.19,-3.18,0.03
201704,1.09,0.73,-1.9,0.05
201705,1.06,-2.55,-3.78,0.06
201706,0.78,2.16,1.32,0.06
201707,1.87,-1.4,-0.28,0.07
201708,0.16,-1.69,-2.24,0.09
201709,2.51,4.54,3.03,0.09
201710,2.25,-1.94,-0.06,0.09
201711,3.12,-0.66,-0.05,0.08
201712,1.06,-1.26,0.14,0.09
